keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
home renovation dispute attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,3,Real Estate Investor Law Firm in California | San Rafael Real Estate ...,https://www.realestateinvestorlaw.com/,California real estate investor's lawyers. Call Lerman Law Partners at 866-671-5902. Representing investors throughout California.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,realestateinvestorlaw.com,25,32,1,2775,348,36255,,
construction litigation attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,2,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
contractor attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,2,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
construction lawyers near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
commercial construction attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,3,Law Office of Brendan P. Brewer | Marin Estate Planning Attorney ...,http://brewerlawoffices.com/,"Brendan P. Brewer in San Rafael, CA, is an estate planning attorney, construction attorney, landlord tenant lawyer, business lawyer and employment attorney.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brewerlawoffices.com,17,25,13,120,52,277,,
contractor lawyer near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
construction attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
lawyer to sue contractor near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,Homepage • Kate Warner Construction Lawyers,https://kwcl.law/,"With over 38 years of experience handling all types of construction claims and disputes, Kate Warner Construction Lawyers delivers for their clients.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kwcl.law,13,22,3,247,40,367,,
construction accident attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,1,California Construction Accident Lawyers - Kuvara Law Firm,https://kuvaralawfirm.com/construction-accidents/,"Did you suffer injuries in a construction accident in San Rafael, CA? Contact Kuvara Law Firm for a free consultation. No upfront fees. 1-800-4-INJURY.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kuvaralawfirm.com,28,37,1,9394,522,56496,,
construction accident attorney near me,San Rafael,Construction-LongTail -- San Rafael.xlsx,2,San Rafael Construction Accident Lawyer | Marin County Work ...,https://www.brodfirm.com/san-rafael-construction-accident-lawyer.html,Free Case Evaluation - Call (800) 427-7020 - Brod Law Firm helps victims and their families receive compensation for their injuries in Work Injury and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brodfirm.com,22,31,5,56738,213,85961,,
intellectual property law firm,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,2,Intellectual Property - Ragghianti Freitas LLP,https://www.rflawllp.com/practices/intellectual-property/,"Our intellectual property attorneys work with all types of companies to provide comprehensive IP ... San Rafael, CA 94901. Phone: 415-453-9433. Fax: 415-453-8269.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rflawllp.com,23,32,58,1694,189,1739,,
intellectual property law firm,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,Intellectual Property Law Firm | Patent Attorney |Tradmark Attorney ...,https://www.stainbrookllp.com/,"A boutique intellectual property law firm located in the North Bay. We serve independent inventors, entrepreneurs, small start-ups, the investors who believe ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,stainbrookllp.com,13,25,1,192,74,1137,,
property lawyer,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,2,DeMartini Walker & Ghaedi LLP,https://marinrealestatelawyer.com/,"Located in Marin County, CA. Trusted experts in real estate and business law. Advocating for individuals, families, investors and entities since 1991.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,marinrealestatelawyer.com,8,22,-1,44,29,65,,
property lawyer,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,Real Estate Investor Law Firm in California | San Rafael Real Estate ...,https://www.realestateinvestorlaw.com/,California real estate investor's lawyers. Call Lerman Law Partners at 866-671-5902. Representing investors throughout California.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,realestateinvestorlaw.com,25,32,1,2775,348,36255,,
patent attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,2,Intellectual Property Law Firm | Patent Attorney |Tradmark Attorney ...,https://www.stainbrookllp.com/,"A boutique intellectual property law firm located in the North Bay. We serve independent inventors, entrepreneurs, small start-ups, the investors who believe ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,stainbrookllp.com,13,25,1,192,74,1137,,
intellectual property lawyer,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,Intellectual Property - Ragghianti Freitas LLP,https://www.rflawllp.com/practices/intellectual-property/,"Our intellectual property attorneys work with all types of companies to provide comprehensive IP ... San Rafael, CA 94901. Phone: 415-453-9433. Fax: 415-453-8269.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rflawllp.com,23,32,58,1694,189,1739,,
ip law attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,2,Intellectual Property Law Firm | Patent Attorney |Tradmark Attorney ...,https://www.stainbrookllp.com/,"A boutique intellectual property law firm located in the North Bay. We serve independent inventors, entrepreneurs, small start-ups, the investors who believe ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,stainbrookllp.com,13,25,1,192,74,1137,,
ip law attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,Intellectual Property - Ragghianti Freitas LLP,https://www.rflawllp.com/practices/intellectual-property/,"Our intellectual property attorneys work with all types of companies to provide comprehensive IP ... San Rafael, CA 94901. Phone: 415-453-9433. Fax: 415-453-8269.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rflawllp.com,23,32,58,1694,189,1739,,
intellectual property attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,2,Intellectual Property - Ragghianti Freitas LLP,https://www.rflawllp.com/practices/intellectual-property/,"Our intellectual property attorneys work with all types of companies to provide comprehensive IP ... San Rafael, CA 94901. Phone: 415-453-9433. Fax: 415-453-8269.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rflawllp.com,23,32,58,1694,189,1739,,
san rafael trademark attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,Intellectual Property Law Firm | Patent Attorney |Tradmark Attorney ...,https://www.stainbrookllp.com/,"A boutique intellectual property law firm located in the North Bay. We serve independent inventors, entrepreneurs, small start-ups, the investors who believe ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,stainbrookllp.com,13,25,1,192,74,1137,,
trademark attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,Intellectual Property Law Firm | Patent Attorney |Tradmark Attorney ...,https://www.stainbrookllp.com/,"Although technology allows us to serve clients worldwide, for those who wish to come and meet us in person we have offices in Santa Rosa and San Rafael. Our ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,stainbrookllp.com,13,25,1,192,74,1137,,
property attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,2,Real Estate Investor Law Firm in California | San Rafael Real Estate ...,https://www.realestateinvestorlaw.com/,California real estate investor's lawyers. Call Lerman Law Partners at 866-671-5902. Representing investors throughout California.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,realestateinvestorlaw.com,25,32,1,2775,348,36255,,
property attorney,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,RIFKIND LAW GROUP,https://www.rifkindlawgroup.com/,"1010 B Street | Suite 200. San Rafael, CA 94901. Rifkind Law Group provides boutique real estate, land use, and mediation services. ©2021 Rifkind Law Group.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rifkindlawgroup.com,18,24,-1,155,54,183,,
uspto trademark lawyer,San Rafael,IntellectualProperty-HighVolume-- San Rafael.xlsx,3,Intellectual Property - Ragghianti Freitas LLP,https://www.rflawllp.com/practices/intellectual-property/,"Our intellectual property attorneys work with all types of companies to provide comprehensive IP services, from start-up to well-established.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rflawllp.com,23,32,58,1694,189,1739,,
attorney criminal defense,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,"Kevin Heaney Law: Criminal Defense Attorney in San Rafael, Marin ...",https://kevinheaneylaw.com/,Kevin Heaney is a Marin County criminal defense attorney you can trust. He and his team are here to support you in your criminal defense case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kevinheaneylaw.com,16,30,1,2797,109,3757,,
criminal defence lawyer,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,Law Office of Will Morehead: Marin County Criminal Lawyer | San ...,https://www.criminal-law-specialist.com/,Free Consultation - Call (415) 730-2558 - Law Office of Will Morehead aggressively represents the accused against charges in Criminal & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,criminal-law-specialist.com,9,28,11,2597,81,3064,,
criminal defense lawyers,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,"Kevin Heaney Law: Criminal Defense Attorney in San Rafael, Marin ...",https://kevinheaneylaw.com/,Kevin Heaney is a Marin County criminal defense attorney you can trust. He and his team are here to support you in your criminal defense case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kevinheaneylaw.com,16,30,1,2797,109,3757,,
criminal defense lawyer,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,"Kevin Heaney Law: Criminal Defense Attorney in San Rafael, Marin ...",https://kevinheaneylaw.com/,Kevin Heaney is a Marin County criminal defense attorney you can trust. He and his team are here to support you in your criminal defense case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kevinheaneylaw.com,16,30,1,2797,109,3757,,
criminal law firm,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,2,Law Office of Will Morehead: Marin County Criminal Lawyer | San ...,https://www.criminal-law-specialist.com/,Free Consultation - Call (415) 730-2558 - Law Office of Will Morehead aggressively represents the accused against charges in Criminal & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,criminal-law-specialist.com,9,28,11,2597,81,3064,,
criminal defense attorney,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,"Kevin Heaney Law: Criminal Defense Attorney in San Rafael, Marin ...",https://kevinheaneylaw.com/,Kevin Heaney is a Marin County criminal defense attorney you can trust. He and his team are here to support you in your criminal defense case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kevinheaneylaw.com,16,30,1,2797,109,3757,,
defence lawyer,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,Law Office of Will Morehead: Marin County Criminal Lawyer | San ...,https://www.criminal-law-specialist.com/,Free Consultation - Call (415) 730-2558 - Law Office of Will Morehead aggressively represents the accused against charges in Criminal & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,criminal-law-specialist.com,9,28,11,2597,81,3064,,
criminal lawyer,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,2,Law Office of Will Morehead: Marin County Criminal Lawyer | San ...,https://www.criminal-law-specialist.com/,Free Consultation - Call (415) 730-2558 - Law Office of Will Morehead aggressively represents the accused against charges in Criminal & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,criminal-law-specialist.com,9,28,11,2597,81,3064,,
criminal lawyer,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,"Kevin Heaney Law: Criminal Defense Attorney in San Rafael, Marin ...",https://kevinheaneylaw.com/,Kevin Heaney is a Marin County criminal defense attorney you can trust. He and his team are here to support you in your criminal defense case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kevinheaneylaw.com,16,30,1,2797,109,3757,,
defense attorney,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,"Kevin Heaney Law: Criminal Defense Attorney in San Rafael, Marin ...",https://kevinheaneylaw.com/,Kevin Heaney is a Marin County criminal defense attorney you can trust. He and his team are here to support you in your criminal defense case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kevinheaneylaw.com,16,30,1,2797,109,3757,,
criminal lawyer near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,1,San Rafael Criminal Defense Attorney - Free Consult,https://summitdefense.com/san-rafael-criminal-defense-attorney/,"For a free consultation, contact Summit Defense now at (415) 524-7717. Summit Defense is a Criminal Defense law firm based in San Rafael, California. We offer legal advice to those charged with a criminal offense, wanting to protect their liberty and prove their innocence.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,summitdefense.com,33,38,1,15241,956,230570,,
criminal attorney near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,1,San Rafael Criminal Defense Attorney - Free Consult,https://summitdefense.com/san-rafael-criminal-defense-attorney/,"For a free consultation, contact Summit Defense now at (415) 524-7717. Summit Defense is a Criminal Defense law firm based in San Rafael, California.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,summitdefense.com,33,38,1,15241,956,230570,,
dwi defense attorney near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,1,San Rafael Multiple DUI Lawyer | Call 415-729-7300 - Paul Burglin,https://www.burglin.com/san-rafael-multiple-dui-lawyer,"Have you been charged with a second or repeat drunk driving offense in San Rafael? Our board certified, experienced California DUI defense lawyer can help.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,burglin.com,19,30,1,5798,276,1358379,,
dwi defense attorney near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,2,"San Rafael Drunk Driving Lawyers | Robert Tayac, Attorney At Law",https://www.sanfranciscoduidefense.com/areas-we-serve/san-rafael/,San Francisco DUI Defense Attorney. DUI Defense · What To Do First · The Criminal ... San Rafael DUI Lawyer. If you have been arrested for DUI in San Rafael ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sanfranciscoduidefense.com,16,26,3,740,116,21908,,
dwi defense attorney near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,San Rafael DUI Attorney - The DUI ManThe DUI Man,https://dui1guy.com/san-rafael-dui-attorney/,"Get a Free Consultation from a top San Rafael DUI Attorney – (888) 384-1489 ... Your attorney's experience with DUI, negotiation & litigation abilities, and ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,dui1guy.com,23,32,-1,1463,201,1463,,
defense attorney near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,"Kevin Heaney Law: Criminal Defense Attorney in San Rafael, Marin ...",https://kevinheaneylaw.com/,Kevin Heaney is a Marin County criminal defense attorney you can trust. He and his team are here to support you in your criminal defense case.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,kevinheaneylaw.com,16,30,1,2797,109,3757,,
expungement lawyers near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,2,Marin County Criminal Record Expungement - Fresh Start Law Center,http://freshstartlawcenter.com/marin-county-criminal-expungement.html,Law firm is experienced in Marin County criminal record expungement and guarantees lowest prices for expunging your record in California.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,freshstartlawcenter.com,29,35,9,1540,315,43881,,
expungement lawyers near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,Expungements | Marin County Criminal Defense Lawyer John Stanko,https://www.stankolaw.com/practice-areas/criminal-defense/expungements/,Free Consultation - Call 415-755-8899 - John Stanko aggressively represents the accused against charges in Criminal Defense & Crime cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,stankolaw.com,15,28,7,14362,106,15543,,
federal defense attorney,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,1,San Rafael Criminal Defense Attorney - Free Consult,https://summitdefense.com/san-rafael-criminal-defense-attorney/,"Our legal team is experienced in handling a variety of criminal offenses, from misdemeanors to felony charges at the state and federal levels. Call the San Rafael criminal defense attorneys at (415) 524-7717 for a free consultation today. How Can Summit Defense Help You?",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,summitdefense.com,33,38,1,15241,956,230570,,
federal defense attorney,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,3,Experienced Federal Criminal Defense Attorney | Silver Law Firm,https://www.esilverlaw.com/federal-crimes/,"Call Silver Law Firm today at (510) 995-0000, or submit a request online to schedule a free, initial consultation and learn more about how we can help. Elliot ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,esilverlaw.com,33,33,1,4846,478,7524,,
defense lawyers near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,1,San Rafael Criminal Defense Attorney - Free Consult,https://summitdefense.com/san-rafael-criminal-defense-attorney/,"For a free consultation, contact Summit Defense now at (415) 524-7717. Summit Defense is a Criminal Defense law firm based in San Rafael, California.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,summitdefense.com,33,38,1,15241,956,230570,,
criminal justice lawyer,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,2,Law Office of Will Morehead: Marin County Criminal Lawyer | San ...,https://www.criminal-law-specialist.com/,Free Consultation - Call (415) 730-2558 - Law Office of Will Morehead aggressively represents the accused against charges in Criminal & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,criminal-law-specialist.com,9,28,11,2597,81,3064,,
owi attorney near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,1,San Rafael Multiple DUI Lawyer | Call 415-729-7300 - Paul Burglin,https://www.burglin.com/san-rafael-multiple-dui-lawyer,"Have you been charged with a second or repeat drunk driving offense in San Rafael? Our board certified, experienced California DUI defense lawyer can help.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,burglin.com,19,30,1,5798,276,1358379,,
owi attorney near me,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,2,"San Rafael Drunk Driving Lawyers | Robert Tayac, Attorney At Law",https://www.sanfranciscoduidefense.com/areas-we-serve/san-rafael/,"Call San Rafael DUI attorney, Robert Tayac, at (415) 552-6000! Directions to our Law Office. 505 Montgomery Street, 11th Floor San Francisco, CA 94111. Areas We ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,sanfranciscoduidefense.com,16,26,3,740,116,21908,,
lawyer for assault charge,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,1,Marin County Assault and Battery Attorneys,https://www.brownsteinlawgroup.com/practice-areas/criminal-defense/assault-and-battery/,"Marin County assault attorney Josh S. Brownstein and the Brownstein Law Group, P.C. has a proven track record of successfully defending clients in San Rafael, Novato, San Francisco, Marin County, and throughout California.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,brownsteinlawgroup.com,14,26,1,2071,74,3031,,
lawyer for assault charge,San Rafael,CriminalLaw-HighVolume -- San Rafael.xlsx,2,Law Office of Will Morehead: Marin County Criminal Lawyer | San ...,https://www.criminal-law-specialist.com/,Free Consultation - Call (415) 730-2558 - Law Office of Will Morehead aggressively represents the accused against charges in Criminal & DUI cases.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,criminal-law-specialist.com,9,28,11,2597,81,3064,,
amicable divorce,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,1,Divorce & Legal Separation | Superior Court of California,https://www.marin.courts.ca.gov/divisions/family/divorce-legal-separation,"To get a no fault divorce, the spouse or domestic partner has to state that the couple cannot get along. Legally, this is called ""irreconcilable differences"".",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,marin.courts.ca.gov,0,0,0,0,0,0,,
amicable divorce,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,2,Marin County Divorce Attorney | San Rafael | Warren Major LLP,https://warrenmajorllp.com/divorce/,"In an uncontested, amicable divorce, both spouses reach a solution for an equitable distribution of marital assets. If children are involved, child custody and ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,warrenmajorllp.com,18,29,1,4955,173,12828,,
amicable divorce,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,3,Divorce With Dignity - Holistic Amicable Divorce Services,https://dwdignity.com/,"Amicable Divorce Services allow you to hold the decisions about property division, child custody, and spousal and child support in your hands.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,dwdignity.com,31,38,-1,1256,415,2065,,
affordable family law attorney near me,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,2,Family & Children's Law Center,https://www.faclcmarin.org/,"Providing high quality, low cost, family law legal services to low income Marin County families.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,faclcmarin.org,21,25,-1,166,72,167,,
affordable family law attorney near me,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,3,Marin County Family Law Attorney | Mediation And Divorce,https://rachelcastrejonfamilylaw.com/,"Rachel Castrejon Family Law and Mediation is based in San Rafael, CA and serves clients throughout Marin County in Sausalito, San Rafael, San Anselmo ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rachelcastrejonfamilylaw.com,18,28,2,318,80,3598,,
amicable divorce attorney,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,1,San Rafael Divorce Lawyer | Law Offices of Gerard A. Falzone,https://www.gfalzonelaw.com/san-rafael/,"San Rafael Divorce Lawyer Gerard A. Falzone is available for free telephone consultations. For more info, please contact us online, or call (415) 482-7800.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,gfalzonelaw.com,28,30,1,1635,380,6203,,
amicable divorce attorney,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,3,Marin County Divorce Attorney | San Rafael | Warren Major LLP,https://warrenmajorllp.com/divorce/,"The divorce attorneys at Warren Major LLP believe that an uncontested divorce is the best solution for everyone. In an uncontested, amicable divorce, both ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,warrenmajorllp.com,18,29,1,4955,173,12828,,
complex divorce lawyer,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,2,Marin County Family Law Attorney | Mediation And Divorce,https://rachelcastrejonfamilylaw.com/,"Rachel is highly experienced in all aspects of family law including complex asset division, division of stock/stock/options/RSUs and other noncash compensation.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,rachelcastrejonfamilylaw.com,18,28,2,318,80,3598,,
complex divorce lawyer,San Rafael,FamilyLaw-LongTail -- San Rafael.xlsx,3,"San Rafael, California Divorce Lawyers | Fenchel Family Law",https://www.fenchelfamilylaw.com/san-rafael-ca/,"Our San Rafael attorneys bring extensive experience in high-net-worth divorce, business valuations, and asset protection, making us a strong ally if you have a ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,fenchelfamilylaw.com,24,31,1,1210,424,17316,,
